60.28.140.246,"GET /content/images/2018/08/IMG_4351.jpg HTTP/1.1",301
60.28.140.246,"GET /content/images/2018/08/IMG_4351.jpg HTTP/1.1",200
60.28.140.246,"GET /favicon.ico HTTP/1.1",200
159.65.227.41,"GET /rss/ HTTP/1.1",304
159.65.227.41,"GET /rss/ HTTP/1.1",304
66.249.66.202,"GET /2016/07/05/reset-hue-password/amp/ HTTP/1.1",301
66.249.66.217,"GET /2016/07/05/reset-hue-password/amp/ HTTP/1.1",200
69.162.124.231,"HEAD / HTTP/1.1",301
69.162.124.231,"HEAD / HTTP/1.1",200
58.96.62.183,"GET / HTTP/1.1",301
58.96.62.183,"GET / HTTP/1.1",200
118.175.13.242,"GET /2017/06/12/configuring-kafka-connect-to-log-rest-http-messages-to-a-separate-file/ HTTP/1.1",301
118.175.13.242,"GET /2017/06/12/configuring-kafka-connect-to-log-rest-http-messages-to-a-separate-file/ HTTP/1.1",200
118.175.13.242,"GET /content/images/2017/05/Control_Center.png HTTP/1.1",200
118.175.13.242,"GET /assets/css/screen.css?v=41d65e1a14 HTTP/1.1",200
58.96.62.183,"GET /content/images/2018/07/IMG_3647.jpg HTTP/1.1",200
118.175.13.242,"GET /assets/js/jquery.fitvids.js?v=41d65e1a14 HTTP/1.1",200
118.175.13.242,"GET /assets/js/index.js?v=41d65e1a14 HTTP/1.1",200
118.175.13.242,"GET /assets/fonts/casper-icons.woff?v=1 HTTP/1.1",200
118.175.13.242,"GET /content/images/2017/05/1__screen_and_3__oracle_vbgeneric____ssh_.png HTTP/1.1",200
118.175.13.242,"GET /content/images/2017/05/1__screen-2.png HTTP/1.1",200
118.175.13.242,"GET /content/images/2017/05/1__screen.png HTTP/1.1",200
118.175.13.242,"GET /content/images/2016/02/IMG_4810-copy.jpg HTTP/1.1",200
118.175.13.242,"GET /favicon.ico HTTP/1.1",200
118.175.13.242,"GET /content/images/2017/05/1__screen_and_3__oracle_vbgeneric____ssh_-1.png HTTP/1.1",200
